Sr. No.,Case Name,Case Number,Hearing Date,Transcript Link,Oral Hearing Link,Hearing Duration(in Minutes),mp3 format link
1,IN RE SECTION 6A OF THE CITIZENSHIP ACT 1955,Writ Petition (C) No.274/2009,12.12.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2009/16113/161132009_2023-12-12.pdf,https://www.youtube.com/watch?v=mhDhg3uHFc0,240,https://www.dropbox.com/scl/fi/7u0swq2chyranq01l308r/MP3-12-12-23-SC.mp3?rlkey=ly6w2zw6uzsy58mxfii3jql28&st=n4i369tq&dl=0
2,BAJAJ ALLIANCE GENERAL INSURANCE CO. LTD. Petitioner(s) v. RAMBHA DEVI & ORS. Respondent(s),Civil Appeal No.841/2018,23.11.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2017/29686/296862017_2023-11-22.pdf,https://www.youtube.com/watch?v=y5pzZYx4Oi8,18,https://www.dropbox.com/scl/fi/kr4x5x27l2uxdutuha8ct/MP3-23-11-23.mp3?rlkey=v7c488j6birbuf1259sc38898&st=uvjgnmvj&dl=0
3,ASSOCIATION FOR DEMOCRATIC REFORMS & ANR. (Petitioner) v. UNION OF INDIA & ORS. (Respondent),Writ Petition (Civil) No.880/2017,02.11.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2017/27935/279352017_2023-11-02.pdf,https://www.youtube.com/watch?v=XMbT_QK5E98&t=501s,255,https://www.dropbox.com/scl/fi/b956nt38ctdg9bwx1qbj4/MP3-02-11-23.mp3?rlkey=i65kpi1qahe3ugao5xg0eruve&st=g0ceo5s3&dl=0
4,BHASKAR RAJU & BROTHERS v. DHARMARATNAKARA RAI BAHADUR ARCOT NARAINSWAMY MUDALIAR CHATTRAM ,Arbitration Case No. 25/2023,11.10.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2022/40099/400992022_2023-10-11.pdf,https://www.youtube.com/watch?v=YyMhe_l9acU&t=120s,180,https://www.dropbox.com/scl/fi/qtvy5ie53dkt0leux0k48/MP3-11-10-23.mp3?rlkey=bsrgmssmbkf5cb56k3jhpj7nu&st=580szfhy&dl=0
5,SITA SOREN Petitioner(s) v. UNION OF INDIA Respondent(s),Crl. A. No. 451/2019,05.10.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2014/10177/101772014_2023-10-05.pdf,https://www.youtube.com/watch?v=G39lv4ItCps&t=20s,247,https://www.dropbox.com/scl/fi/lmymks9mhsjw1wynctgid/MP3-05-10-23.mp3?rlkey=i141jf8ojknoslaz4b23uvp5d&st=81zhi6cq&dl=0
,,,04.10.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2014/10177/101772014_2023-10-04.pdf,https://www.youtube.com/watch?v=W3Bhe5bykiA&t=70s,260,https://www.dropbox.com/scl/fi/mdy8mq2k1p2hbtuvyo09m/MP3-04-10-23.mp3?rlkey=2ry4msns4j9ikr11ro1u3rbbc&st=4i6rhii6&dl=0
6,In re: Article 370 of the Constitution,Writ Petition (Civil) No.1099/2019,23.08.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2019/29796/297962019_2023-08-23.pdf,https://www.youtube.com/watch?v=6nOp_rbBL3E,243,https://www.dropbox.com/scl/fi/ngashnhx905frobtr6rjb/MP3-23_08_2023.mp3?rlkey=9d4gnnnt3dj9g4cu20gdos7xo&st=z0lr2z7m&dl=0
,,,02.08.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2019/29796/297962019_2023-08-02.pdf,https://www.youtube.com/watch?v=dw6iT5SNerk,240,https://www.dropbox.com/scl/fi/o2u6vlzqn2c2sxmn4s2pr/MP3-02-08-23.mp3?rlkey=l90ib85lj214h0lhldz5a6aqb&st=m2fimqzy&dl=0
7,SHAH FAESAL & ORS. Petitioner(s) v. UNION OF INDIA & ANR. Respondent(s),Writ Petition (Civil) No.1099/2019,11.07.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2019/29796/297962019_2023-07-11.pdf,https://www.youtube.com/watch?v=hztcCMLZD_o,24,https://www.dropbox.com/scl/fi/zlo0q8rjc8j1kfk1u29k4/MP3-11-07-23.mp3?rlkey=9p8oh45i0v6vk397rzrc0npnm&st=u9doi55x&dl=0
9,"Subhash Desai v. Principal Secretary, Governor of Maharashtra and Ors. ",W.P.(C) No. 493/2022,21.02.2023,https://main.sci.gov.in/supremecourt/transcribedarguments/2022/20234/202342022_2023-02-21.pdf,https://www.youtube.com/watch?v=fV_XmO-EA8w&t=268s,150,https://www.dropbox.com/scl/fi/26s5yitsqo02jqksterpt/MP3-21-02-23.mp3?rlkey=lj4n1yr8gwq5do0rfvb25lewp&st=i0r6o804&dl=0
